rcv            	12.19	    D	    8351	    50	     1
snd/DA         	12.19	    A	       1	     0	  8301
rcv            	12.19	    D	    8401	    50	     1
snd/DA         	12.19	    A	       1	     0	  8301
rcv/corr       	12.20	    D	    8451	    50	     1
rcv            	12.20	    D	    8601	    50	     1
snd/DA         	12.20	    A	       1	     0	  8301
rcv            	12.20	    D	    8651	    50	     1
snd/DA         	12.20	    A	       1	     0	  8301
rcv            	12.20	    D	    8651	    50	     1
snd/DA         	12.20	    A	       1	     0	  8301
rcv            	12.20	    D	    8701	    50	     1
snd/DA         	12.20	    A	       1	     0	  8301
rcv            	12.20	    D	    8501	    50	     1
snd/DA         	12.20	    A	       1	     0	  8301
rcv            	12.20	    D	    8751	    50	     1
snd/DA         	12.20	    A	       1	     0	  8301
rcv            	12.20	    D	    8301	    50	     1
snd            	12.20	    A	       1	     0	  8451
rcv            	12.20	    D	    8301	    50	     1
snd/DA         	12.20	    A	       1	     0	  8451
rcv            	12.20	    D	    8801	    50	     1
snd/DA         	12.20	    A	       1	     0	  8451
rcv            	12.20	    D	    8851	    50	     1
snd/DA         	12.20	    A	       1	     0	  8451
rcv            	12.20	    D	    8851	    50	     1
snd/DA         	12.20	    A	       1	     0	  8451
rcv            	12.20	    D	    8901	    50	     1
snd/DA         	12.20	    A	       1	     0	  8451
rcv            	12.20	    D	    8451	    50	     1
snd            	12.20	    A	       1	     0	  8551
rcv            	12.20	    D	    8951	    50	     1
snd/DA         	12.20	    A	       1	     0	  8551
rcv            	12.20	    D	    9001	    50	     1
snd/DA         	12.20	    A	       1	     0	  8551
rcv            	12.24	    D	    8551	    50	     1
snd            	12.24	    A	       1	     0	  9051
rcv            	12.24	    D	    9051	    50	     1
snd            	12.24	    A	       1	     0	  9101
rcv            	12.24	    D	    9101	    50	     1
snd            	12.24	    A	       1	     0	  9151
rcv            	12.24	    D	    9101	    50	     1
snd/DA         	12.24	    A	       1	     0	  9151
rcv            	12.24	    D	    9151	    50	     1
snd            	12.24	    A	       1	     0	  9201
rcv            	12.24	    D	    9251	    50	     1
snd/DA         	12.24	    A	       1	     0	  9201
rcv            	12.24	    D	    9301	    50	     1
snd/DA         	12.24	    A	       1	     0	  9201
rcv            	12.24	    D	    9351	    50	     1
snd/DA         	12.24	    A	       1	     0	  9201
rcv            	12.24	    D	    9401	    50	     1
snd/DA         	12.24	    A	       1	     0	  9201
rcv/corr       	12.24	    D	    9451	    50	     1
rcv            	12.24	    D	    9501	    50	     1
snd/DA         	12.24	    A	       1	     0	  9201
rcv            	12.24	    D	    9551	    50	     1
snd/DA         	12.24	    A	       1	     0	  9201
rcv            	12.24	    D	    9601	    50	     1
snd/DA         	12.24	    A	       1	     0	  9201
rcv            	12.24	    D	    9651	    50	     1
snd/DA         	12.24	    A	       1	     0	  9201
rcv            	12.24	    D	    9201	    50	     1
snd            	12.24	    A	       1	     0	  9451
rcv            	12.24	    D	    9201	    50	     1
snd/DA         	12.24	    A	       1	     0	  9451
rcv            	12.24	    D	    9201	    50	     1
snd/DA         	12.24	    A	       1	     0	  9451
rcv            	12.24	    D	    9701	    50	     1
snd/DA         	12.24	    A	       1	     0	  9451
rcv/corr       	12.24	    D	    9751	    50	     1
rcv            	12.24	    D	    9801	    50	     1
snd/DA         	12.24	    A	       1	     0	  9451
rcv            	12.24	    D	    9851	    50	     1
snd/DA         	12.24	    A	       1	     0	  9451
rcv            	12.24	    D	    9901	    50	     1
snd/DA         	12.24	    A	       1	     0	  9451
rcv            	12.25	    D	    9451	    50	     1
snd            	12.25	    A	       1	     0	  9751
rcv            	12.25	    D	    9451	    50	     1
snd/DA         	12.25	    A	       1	     0	  9751
rcv            	12.25	    D	    9951	    50	     1
snd/DA         	12.25	    A	       1	     0	  9751
rcv            	12.25	    D	   10001	    50	     1
snd/DA         	12.25	    A	       1	     0	  9751
rcv            	12.25	    D	    9451	    50	     1
snd/DA         	12.25	    A	       1	     0	  9751
rcv            	12.25	    D	   10051	    50	     1
snd/DA         	12.25	    A	       1	     0	  9751
rcv/corr       	12.25	    D	   10101	    50	     1
rcv            	12.25	    D	   10151	    50	     1
snd/DA         	12.25	    A	       1	     0	  9751
rcv/corr       	12.25	    D	   10201	    50	     1
rcv            	12.25	    D	    9751	    50	     1
snd            	12.25	    A	       1	     0	 10101
rcv            	12.25	    D	    9751	    50	     1
snd/DA         	12.25	    A	       1	     0	 10101
rcv            	12.25	    D	   10251	    50	     1
snd/DA         	12.25	    A	       1	     0	 10101
rcv/corr       	12.25	    D	   10301	    50	     1
rcv            	12.25	    D	   10401	    50	     1
snd/DA         	12.25	    A	       1	     0	 10101
rcv            	12.25	    D	   10451	    50	     1
snd/DA         	12.25	    A	       1	     0	 10101
rcv            	12.25	    D	   10451	    50	     1
snd/DA         	12.25	    A	       1	     0	 10101
rcv            	12.25	    D	   10501	    50	     1
snd/DA         	12.25	    A	       1	     0	 10101
rcv            	12.25	    D	   10551	    50	     1
snd/DA         	12.25	    A	       1	     0	 10101
rcv            	12.25	    D	   10551	    50	     1
snd/DA         	12.25	    A	       1	     0	 10101
rcv            	12.25	    D	   10101	    50	     1
snd            	12.25	    A	       1	     0	 10201
rcv            	12.25	    D	   10101	    50	     1
snd/DA         	12.25	    A	       1	     0	 10201
rcv/corr       	12.25	    D	   10601	    50	     1
rcv            	12.25	    D	   10651	    50	     1
snd/DA         	12.25	    A	       1	     0	 10201
rcv            	12.27	    D	   10201	    50	     1
snd            	12.27	    A	       1	     0	 10301
rcv            	12.27	    D	   10701	    50	     1
snd/DA         	12.27	    A	       1	     0	 10301
rcv            	12.28	    D	   10301	    50	     1
snd            	12.28	    A	       1	     0	 10351
rcv            	12.28	    D	   10301	    50	     1
snd/DA         	12.28	    A	       1	     0	 10351
rcv            	12.28	    D	   10801	    50	     1
snd/DA         	12.28	    A	       1	     0	 10351
rcv            	12.30	    D	   10351	    50	     1
snd            	12.30	    A	       1	     0	 10601
rcv            	12.30	    D	   10751	    50	     1
snd/DA         	12.30	    A	       1	     0	 10601
rcv            	12.31	    D	   10851	    50	     1
snd/DA         	12.31	    A	       1	     0	 10601
rcv            	12.31	    D	   10851	    50	     1
snd/DA         	12.31	    A	       1	     0	 10601
rcv/corr       	12.31	    D	   10901	    50	     1
rcv            	12.31	    D	   10951	    50	     1
snd/DA         	12.31	    A	       1	     0	 10601
rcv            	12.31	    D	   11001	    50	     1
snd/DA         	12.31	    A	       1	     0	 10601
rcv            	12.31	    D	   11051	    50	     1
snd/DA         	12.31	    A	       1	     0	 10601
rcv            	12.31	    D	   11051	    50	     1
snd/DA         	12.31	    A	       1	     0	 10601
rcv            	12.31	    D	   10601	    50	     1
snd            	12.31	    A	       1	     0	 10901
rcv            	12.31	    D	   11151	    50	     1
snd/DA         	12.31	    A	       1	     0	 10901
rcv            	12.31	    D	   11201	    50	     1
snd/DA         	12.31	    A	       1	     0	 10901
rcv            	12.31	    D	   11251	    50	     1
snd/DA         	12.31	    A	       1	     0	 10901
rcv            	12.31	    D	   11351	    50	     1
snd/DA         	12.31	    A	       1	     0	 10901
rcv            	12.31	    D	   10601	    50	     1
snd/DA         	12.31	    A	       1	     0	 10901
rcv            	12.31	    D	   11351	    50	     1
snd/DA         	12.31	    A	       1	     0	 10901
rcv            	12.31	    D	   10901	    50	     1
snd            	12.31	    A	       1	     0	 11101
rcv            	12.31	    D	   11401	    50	     1
snd/DA         	12.31	    A	       1	     0	 11101
rcv            	12.31	    D	   11501	    50	     1
snd/DA         	12.31	    A	       1	     0	 11101
rcv            	12.32	    D	   11101	    50	     1
snd            	12.32	    A	       1	     0	 11301
rcv            	12.32	    D	   10901	    50	     1
snd/DA         	12.32	    A	       1	     0	 11301
rcv            	12.32	    D	   11601	    50	     1
snd/DA         	12.32	    A	       1	     0	 11301
rcv            	12.32	    D	   11601	    50	     1
snd/DA         	12.32	    A	       1	     0	 11301
rcv            	12.32	    D	   11651	    50	     1
snd/DA         	12.32	    A	       1	     0	 11301
rcv            	12.32	    D	   11301	    50	     1
snd            	12.32	    A	       1	     0	 11451
rcv            	12.32	    D	   11801	    50	     1
snd/DA         	12.32	    A	       1	     0	 11451
rcv            	12.32	    D	   11851	    50	     1
snd/DA         	12.32	    A	       1	     0	 11451
rcv            	12.32	    D	   11901	    50	     1
snd/DA         	12.32	    A	       1	     0	 11451
